"","catalogNumber","LM1x","LM2x","LM3x","LM4x","LM5x","LM6x","LM7x","LM8x","LM9x","LM1y","LM2y","LM3y","LM4y","LM5y","LM6y","LM7y","LM8y","LM9y","Species","Genus","Subfamily","Family","Sex","Collection","ITD"
"1","UCSB_IZC00008208_L",0.400880816631676,0.312927682095071,-0.0189457996318196,-0.122548721227719,-0.329090923204969,-0.487757085614246,0.0141277070176661,0.0826093563482452,0.147796967586094,0.11492958418538,0.247713802186641,0.173331686061237,0.210276711556451,0.0372352921399632,-0.00123321078932289,-0.18067486278588,-0.294481283469112,-0.307097719085359,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",0.21
"2","UCSB_IZC00036466_L",0.400094114109723,0.294454624735024,-0.0342731011412048,-0.10775372917131,-0.328773934935353,-0.481309038757711,0.00614089732975994,0.0875939929776825,0.163826174853388,0.123935330135465,0.242039860469332,0.180820197205426,0.207887540298278,0.0327936627791932,0.0206756504446926,-0.188160955203813,-0.297961796257704,-0.322029489870873,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",0.18
"3","UCSB_IZC00036601_L",0.401589026513879,0.304600762376512,-0.0376819683186325,-0.117576542749669,-0.317786567902991,-0.478383899837751,0.00279530602475405,0.0864195727607865,0.15602431113311,0.116157520976424,0.246520141250153,0.187793460515128,0.214861269564637,0.0408705390909363,-0.00123317773480425,-0.184047827055868,-0.30182559967765,-0.319096326928959,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",0.223
"4","UCSB_IZC00037252_L",0.401103744847003,0.306148470792851,-0.029450188255901,-0.115825848896644,-0.327204397574873,-0.489722643091354,0.0112897353308724,0.0861347994875224,0.157526327360522,0.113282867556251,0.249663845366747,0.174446476768478,0.200546673940567,0.0383098752008081,0.010746108391319,-0.181656725640857,-0.290972057269393,-0.314367064313922,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",0.197
"5","UCSB_IZC00040751_L",0.403285339560873,0.294655804020322,-0.0331095595999071,-0.12239921030522,-0.326935592262489,-0.482426073388673,0.0124026024069942,0.0905640607870974,0.163962628781002,0.112493343459173,0.24253781422948,0.18067741764611,0.2072496348659,0.0390446907223644,0.0138978147404988,-0.178146303865984,-0.299067582261505,-0.318686829536037,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",0.214
"6","UCSB_IZC00041034_L",0.406256737163548,0.293100374358005,-0.0238524805802826,-0.107338113818086,-0.329964704431603,-0.485100216130774,0.00350195997962418,0.0817345951651115,0.161661848294458,0.115650870534472,0.245342646105363,0.185018742194999,0.210194178476751,0.0304142636659548,0.00884566428496256,-0.183921177494566,-0.299257525967609,-0.312287661800326,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",NA
"7","UCSB_IZC00042465_L",0.395121981601048,0.293175658969073,-0.0406075429293453,-0.121587911851065,-0.322287337921901,-0.481779995551926,0.0127362475622112,0.0947236963636819,0.170505203758222,0.10519984945693,0.248617649165242,0.184394170773593,0.209568611370727,0.048907593703918,0.012197585314092,-0.183099212557237,-0.303611165145215,-0.322175082082049,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",NA
"8","UCSB_IZC00041511_L",0.410263850204419,0.2933742456389,-0.0351822080438227,-0.108359511006144,-0.32397821815006,-0.48061820055424,0.00326046957623458,0.0841596067449005,0.157079965589811,0.11806834032099,0.243037989407859,0.185935881656363,0.215721069565509,0.0316897294569711,0.0043714242113893,-0.180914529928911,-0.299070002721181,-0.318839901968989,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",NA
"9","UCSB_IZC00038830_R",0.398222339926497,0.302262745921833,-0.0243962436035956,-0.105797666049614,-0.320225113871444,-0.4821973779388,-0.00167413453993308,0.0811605063395538,0.152644943815504,0.127183636954406,0.253201422367809,0.181431928389151,0.209918153217409,0.0332883253952603,0.00907234117455761,-0.191432980219554,-0.303624765847857,-0.319038061431183,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",NA
"10","UCSB_IZC00038830_L",0.402961488796892,0.295806928001777,-0.0311233209522256,-0.108636153943953,-0.322703485894562,-0.478589982992185,0.000767714563617384,0.0832133296510934,0.158303482769544,0.120667433155917,0.25318282371122,0.181289044489022,0.210164864991501,0.034174444951261,0.0123239775814729,-0.189007218986348,-0.302998557899415,-0.319796811994633,"Agapostemon texanus","Agapostemon","Halictinae","Halictidae","Female","UCSB",NA
"11","EMEC_1773529_L",0.411108424915403,0.319273269689779,0.060569112464167,-0.0740803936095356,-0.365451626671079,-0.487873777172632,-0.0296383009957832,0.0461869433440429,0.119906348035637,0.159088251892886,0.242562504090366,0.188387533195749,0.192273151284991,-0.0143462752359142,-0.0207945428009251,-0.141724620743898,-0.283706961025191,-0.321739040658067,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB",0.2656
"12","EMEC_1773532_L",0.412560532097747,0.316853913426803,0.0493781145774223,-0.0824281738465288,-0.368684850365418,-0.491721446706319,-0.0216490140537529,0.0569222250561731,0.128768699813873,0.151157393114173,0.236802359044538,0.177630884194408,0.188548328621398,-0.00704428803956772,-0.0115447417604126,-0.137828956472068,-0.278930497813539,-0.318790480888931,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB",0.2136
"13","EMEC_1773557_L",0.408870153182653,0.317669400814407,0.0473970268488668,-0.0733823862561775,-0.368795934406613,-0.495587628915584,-0.0276239074371546,0.0564475098562457,0.135005766313358,0.1509130706764,0.234734002310005,0.179066288463486,0.195508797682686,-0.0103841793108129,-0.00893301599040378,-0.153376189516808,-0.278548452101927,-0.308980322212623,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB",0.2317
"14","EMEC_1773582_L",0.40950114957291,0.319695744205452,0.0380207225208218,-0.0944100913754608,-0.356377251965722,-0.484525935491851,-0.0239211411171038,0.0569480625465938,0.135068741104359,0.149573808842607,0.241854865124084,0.18037382481249,0.186472303755694,0.00270340619062283,-0.00820017344013079,-0.146550568790485,-0.288406820523779,-0.317820645971103,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB",0.2376
"15","EMEC_1773606_L",0.414346152289992,0.320889774543812,0.0468600973904855,-0.093045871146244,-0.371817031723488,-0.495382721800944,-0.0196706006710468,0.0583929431123153,0.139427258005117,0.141292213567677,0.235335977200792,0.170149100038448,0.182826388856339,-0.00528373458624044,-0.00477095185535529,-0.140550820112742,-0.268209104884834,-0.310789068224084,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB",0.2134
"16","EMEC_1773582_R",0.406736064918847,0.319619550845645,0.0401152163721809,-0.0922127174198941,-0.357951190863123,-0.483555891637067,-0.0247608670121112,0.0595846043716022,0.13242523042392,0.154177090303459,0.240137780018872,0.178786559628315,0.189464045184666,0.00191004433119966,-0.00764549473958847,-0.146787558477248,-0.288375781610999,-0.321666684638676,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB",NA
"17","EMEC_1773532_R",0.409312020270796,0.315983463585965,0.0480106244499181,-0.0846022029493001,-0.362132419637359,-0.492851992760666,-0.019477859230563,0.0575626029446736,0.128195763326537,0.152881319568523,0.23924528907383,0.177453629828294,0.188037442480206,-0.00233831248398252,-0.0107137876286505,-0.139812273572576,-0.282162247290575,-0.322591059975066,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB",NA
"18","EMEC_1773529_R",0.409733194985083,0.321628547142058,0.0551888351760799,-0.074721038566776,-0.367273158359319,-0.484701807654448,-0.0293275802571934,0.047580162999131,0.121892844535387,0.155987345405687,0.24417309611938,0.189317162339082,0.1918078263591,-0.0115256176301356,-0.0208312732555346,-0.146316330028105,-0.28086478829772,-0.321747421011751,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB",NA
"19","EMEC_1773557_R",0.410518763367918,0.317391913318165,0.0456945469787261,-0.0752953724791457,-0.367181174847948,-0.499813366122979,-0.0280477181234786,0.0564371574277872,0.140295250480958,0.144218768104893,0.235816983197841,0.177249969480475,0.192838002712786,-0.0054037986153065,-0.0118403156720275,-0.150767840485654,-0.274336279469967,-0.307775489253039,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB",NA
"20","EMEC_1773606_R",0.41435518667287,0.316385949380233,0.0472130419949544,-0.0878560010669436,-0.37539505190217,-0.490448523115939,-0.0208662707414148,0.0609558962140555,0.135655772564353,0.148592322479404,0.232017908019808,0.170454854208871,0.189256984920118,-0.00777474106257812,-0.00291238036984137,-0.144870659319657,-0.272648311669094,-0.312115977207033,"Andrena prunorum","Andrena","Andreninae","Andrenidae","Female","UCSB",NA
"21","SBMNH_ENT0116669_L",0.502539036069894,0.372380080325632,-0.105129735187118,-0.214923569926426,-0.402448805216943,-0.426646369309782,0.0336359630223968,0.0767180034247323,0.163875396797616,0.114460461331795,0.199505971507558,0.0842474688388016,0.102494219841495,0.0346124139871203,0.0467868824368927,-0.073540034506726,-0.223795639271191,-0.284771744165747,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","SBMNH",0.41435
"22","SBMNH_ENT0116670_L",0.494766209436061,0.374236884724292,-0.0867005976715496,-0.224478543799236,-0.403447769346417,-0.435395625899896,0.0364503699583204,0.074144143476169,0.170424929122255,0.130423154914009,0.174365291810866,0.0894404263032728,0.103429421254077,0.0341972630863156,0.0509810518332728,-0.0821576271705874,-0.222908448106801,-0.277770533924426,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","SBMNH",0.3467
"23","SBMNH_ENT0116671_L",0.493049301757932,0.37024625695537,-0.108458227467492,-0.209351334677611,-0.408489897903694,-0.437692828724385,0.0435662183728824,0.0808652338930475,0.176265277793952,0.123088485642419,0.183054715941162,0.0758195194924914,0.0974627754096514,0.0403744625160553,0.0594623405043917,-0.0690973870388434,-0.224569379495437,-0.285595532971891,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","SBMNH",0.39675
"24","SBMNH_ENT0116672_L",0.499731270498725,0.370688449393858,-0.109148492592992,-0.212592157306997,-0.410637591390264,-0.43548284458913,0.0415204242851731,0.0812017172512819,0.174719224450346,0.121709947108619,0.175066670772042,0.0806475817294815,0.102827122010121,0.0346688207597547,0.0550971428295537,-0.0665489558969395,-0.225379717967338,-0.278088611345294,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","SBMNH",0.3864
"25","UCSB_IZC00010322_L",0.489175170775092,0.363503736519656,-0.0946102637418624,-0.216104072677525,-0.403597890401179,-0.439495263725496,0.0381564974462963,0.0827320577105118,0.180240028094509,0.117381375719227,0.181114097614403,0.0891255939756956,0.108051173815567,0.0348365061448047,0.0564279409082581,-0.0768911467366306,-0.223142226430612,-0.286903315010711,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","UCSB",0.351
"26","UCSB_IZC00010379_L",0.496468081852815,0.348127756415432,-0.0977965282524844,-0.211880720646623,-0.408557972555466,-0.434613605770263,0.0370201604941515,0.0882726508821604,0.182960177580278,0.115588912655223,0.178472850710647,0.0930787791721322,0.110597335699032,0.0409502587443114,0.0563573967146875,-0.082363057112091,-0.229003782319,-0.283678694264941,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","UCSB",0.388
"27","UCSB_IZC00037376_L",0.496496635636702,0.342598268127943,-0.0951256839839602,-0.207544975891194,-0.404821419986855,-0.440715904355315,0.0440875641742448,0.0811542571781216,0.183871259100316,0.114254168664319,0.177295787484854,0.0987964310252558,0.11457482855511,0.036338981275957,0.0536646256755553,-0.0782832610807716,-0.229201969542184,-0.287439592058096,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","UCSB",0.327
"28","SBMNH_ENT0116669_R",0.501161953587383,0.369998647223384,-0.106307542145189,-0.210685415607927,-0.40486294538403,-0.427111249267706,0.0364371246484004,0.0744165738148651,0.166952853130818,0.116782372739119,0.194463264186097,0.0872593914545633,0.104470205822666,0.0307725568874039,0.0485633010126116,-0.0701038147527938,-0.223674046937132,-0.288533230412536,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","SBMNH",NA
"29","SBMNH_ENT0116670_R",0.500363408133819,0.376458750263422,-0.0913389741193794,-0.221969638326233,-0.405216737960168,-0.427088906051313,0.0309198451834895,0.0723285253948165,0.165543727481546,0.142060640817534,0.166478078327704,0.0927355789956492,0.103780840872386,0.0331711310598679,0.0481295628583315,-0.0830014794975367,-0.226203662647738,-0.277150690786198,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","SBMNH",NA
"30","UCSB_IZC00037376_R",0.495084069445273,0.344994607520043,-0.0957443143186275,-0.202552257776917,-0.406644130607651,-0.440210817686887,0.0421028302679388,0.0827472653073543,0.180222747849472,0.114905602531012,0.181277101633002,0.0979478090634549,0.111567834047211,0.0344732282083319,0.0541891757692801,-0.0746036635458507,-0.229915860995373,-0.28984122671107,"Anthophora edwardsii","Anthophora","Apinae","Apidae","Female","UCSB",NA
"31","UCSB_IZC00010881_L",0.466448912358809,0.285763182160343,0.0312368557078439,-0.147659204195737,-0.344984603686315,-0.451024577772841,-0.0432994292236024,0.0477956383049842,0.155723226346516,0.195866700921715,0.201307294643219,0.157346522255294,0.162376373714095,0.0408908246430796,0.00775128204588871,-0.167397355670104,-0.271323795393464,-0.326817847159723,"Apis mellifera","Apis","Apinae","Apidae","Female","UCSB",0.286
"32","UCSB_IZC00033241_L",0.477721878642823,0.292447401055222,0.00561795154363998,-0.161841524115882,-0.354991711486355,-0.431519321502693,-0.0409160699306738,0.0570725672719673,0.156408828521951,0.208065092101987,0.19348001814164,0.132390812216277,0.151344505613343,0.0436001799589248,0.0303183926601595,-0.162127989615108,-0.269443117337344,-0.32762789373988,"Apis mellifera","Apis","Apinae","Apidae","Female","UCSB",0.303
"33","UCSB_IZC00036441_L",0.475762780639111,0.297161389899092,0.00888230606879295,-0.159857806863906,-0.361377562958227,-0.445049803373007,-0.047399663144022,0.0581279572178591,0.173750402514306,0.1930657729328,0.185842692961466,0.134545669555095,0.150628572960531,0.0440542770737676,0.0276532651665793,-0.168937156032272,-0.258361752289157,-0.308491342328807,"Apis mellifera","Apis","Apinae","Apidae","Female","UCSB",0.297
"34","UCSB_IZC00036441_L",0.475762780639111,0.297161389899092,0.00888230606879295,-0.159857806863906,-0.361377562958227,-0.445049803373007,-0.047399663144022,0.0581279572178591,0.173750402514306,0.1930657729328,0.185842692961466,0.134545669555095,0.150628572960531,0.0440542770737676,0.0276532651665793,-0.168937156032272,-0.258361752289157,-0.308491342328807,"Apis mellifera","Apis","Apinae","Apidae","Female","UCSB",0.284
"35","UCSB_IZC00044306_L",0.491574888025659,0.288090974201771,0.0148631850800255,-0.1590904479253,-0.356743772828462,-0.446871046037011,-0.0404652522835724,0.0575027498772309,0.151138721889662,0.198085138205636,0.184839669971637,0.142132041621612,0.149457056925548,0.0354817188475586,0.0194366128194618,-0.15876720539355,-0.253994013221296,-0.316671019776608,"Apis mellifera","Apis","Apinae","Apidae","Female","UCSB",0.297
"36","UCSB_IZC00038548_L",0.492260142173505,0.280538107294574,0.0170024226165049,-0.14785464804358,-0.349010198485959,-0.445170108981716,-0.0478137638026693,0.047365741366642,0.152682305862699,0.209588388779994,0.190697547769195,0.140004525024317,0.153394216142025,0.0381570174401088,0.0201818545870319,-0.170178086919261,-0.265768243150359,-0.316077219673053,"Apis mellifera","Apis","Apinae","Apidae","Female","UCSB",NA
"37","UCSB_IZC00038889_L",0.487973725920608,0.295238129173852,0.0138572384066339,-0.139176190108535,-0.352640021464356,-0.463737113400799,-0.0394812865952908,0.0471741512615757,0.150791366806313,0.205853741891838,0.181953040517444,0.13288465607551,0.1504034154277,0.0349239770355229,0.0126134450963569,-0.15012429770369,-0.255965264459451,-0.312542713881231,"Apis mellifera","Apis","Apinae","Apidae","Female","UCSB",NA
"38","UCSB_IZC00030944_L",0.47402418304286,0.310109780351674,0.0064765008464058,-0.167638537081077,-0.359837041939946,-0.443662237104642,-0.0424379190978839,0.0557691097463487,0.167196161236261,0.18568752053274,0.194439679158521,0.135206772617917,0.14455850273256,0.0395451884897219,0.0256841269057512,-0.160833829950715,-0.254560741181682,-0.309727219304814,"Apis mellifera","Apis","Apinae","Apidae","Female","UCSB",NA
"39","UCSB_IZC00009049_R",0.482786004914943,0.297361216733287,0.00298943102121442,-0.171244519244833,-0.355636238948948,-0.434902389859137,-0.0462920154109728,0.0587655795085903,0.166172931285858,0.184715089408026,0.197644145570132,0.139573289185764,0.146625653547647,0.0376168987364009,0.0281743788006067,-0.156794287523003,-0.259631416205203,-0.317923751520371,"Apis mellifera","Apis","Apinae","Apidae","Female","UCSB",NA
"40","UCSB_IZC00019263_R",0.493515837888256,0.300692230400716,0.00658146862913625,-0.180276211404375,-0.357271189386345,-0.43120496391123,-0.0412693090851575,0.0568090866453233,0.152423050223674,0.197944479151212,0.189613837161663,0.14009439929592,0.135443922425184,0.0356809814427033,0.0307739479049841,-0.161706610689366,-0.25098162054659,-0.316863336145712,"Apis mellifera","Apis","Apinae","Apidae","Female","UCSB",NA
"41","UCSB_IZC00010460_L",0.446481005867762,0.378017559180459,-0.111689445682391,-0.209677547243312,-0.358178693091033,-0.429838099772221,0.0189000633876956,0.0901993949880333,0.175785762365008,0.114868066043375,0.224655776282173,0.105403855416531,0.132393631639992,0.0410128027442316,0.0582238595857556,-0.117908186434959,-0.251493609846263,-0.307156195430839,"Bombus californicus","Bombus","Apinae","Apidae","Female","UCSB",0.406
"42","UCSB_IZC00028371_L",0.450836933996761,0.374207036410408,-0.112595114065596,-0.197776206359168,-0.358858904615368,-0.42920216912997,0.0161499545159007,0.0774723874299821,0.179766081817049,0.122211045083946,0.227983406452657,0.100164108824145,0.131331148801819,0.0383169369571199,0.0612635498307552,-0.122642769943288,-0.251459729502767,-0.307167696504389,"Bombus californicus","Bombus","Apinae","Apidae","Female","UCSB",0.337
"43","UCSB_IZC00035618_L",0.451713356854681,0.372394430120289,-0.11215589099636,-0.22520011516903,-0.35206130306388,-0.416330980157245,0.0214704731841957,0.0817315797529759,0.178438449474374,0.126051925311047,0.227858463484301,0.0982445849739283,0.127470393187677,0.0466856047654747,0.0674823880238634,-0.121543991326928,-0.253330223512997,-0.318919144906365,"Bombus californicus","Bombus","Apinae","Apidae","Female","UCSB",0.483
"44","UCSB_IZC00041667_L",0.452419956032596,0.375827320773409,-0.108513555555169,-0.214388003832963,-0.359714156810612,-0.430421139780701,0.0208847631678932,0.0855769160885869,0.178327899916959,0.125640765057578,0.217638128494305,0.0930105253610911,0.128788185775389,0.0447334341526518,0.0652046502998131,-0.123623466749761,-0.25072812686831,-0.300664095522758,"Bombus californicus","Bombus","Apinae","Apidae","Female","UCSB",0.309
"45","UCSB_IZC00042970_L",0.454784560815929,0.381033958081559,-0.100089546308931,-0.208172493966525,-0.365219597120749,-0.424539955516182,0.0164726025503611,0.0791830561299862,0.166547415334553,0.129164166247196,0.226973223708603,0.0928704010011874,0.127350545225176,0.0392614661105047,0.0577692334090687,-0.122167951923022,-0.24659213070645,-0.304628953072263,"Bombus californicus","Bombus","Apinae","Apidae","Female","UCSB",0.341
"46","UCSB_IZC00010460_R",0.442456158056051,0.375384063813853,-0.112341416475561,-0.204097598758954,-0.363172440087598,-0.430885687231939,0.0196670451592375,0.0906434353920827,0.182346440132827,0.112789274372704,0.221498468163556,0.109755628407199,0.133972063171707,0.0397519912118262,0.0604130192417057,-0.120390848054874,-0.250452020667167,-0.307337575846653,"Bombus californicus","Bombus","Apinae","Apidae","Female","UCSB",NA
"47","UCSB_IZC00010425_L",0.447709674172771,0.369473564412545,-0.11282334434373,-0.215222670892317,-0.36394797348403,-0.426900358210624,0.0274833534847757,0.0929148973822767,0.181312857478333,0.112731238568627,0.221731283446092,0.0991492533826203,0.133346161870989,0.0474668705691624,0.0614491499552647,-0.11273654229889,-0.249078706927842,-0.314058708566023,"Bombus californicus","Bombus","Apinae","Apidae","Female","UCSB",NA
"48","UCSB_IZC00042970_R",0.458274154088364,0.377762116830384,-0.0984499829229351,-0.204867077928361,-0.361075960159628,-0.427606751866147,0.0139780839203458,0.0788365416656673,0.163148876372308,0.134572652806301,0.225314195069859,0.0936268610741522,0.125603106241338,0.0369001130246601,0.0590465387507939,-0.121977928758911,-0.247426044763222,-0.305659493444973,"Bombus californicus","Bombus","Apinae","Apidae","Female","UCSB",NA
"49","UCSB_IZC00010546_L",0.453764931662661,0.370125893938544,-0.131414642847851,-0.210918837820036,-0.350181953371068,-0.431689392401027,0.024063995840771,0.0899314194513049,0.186318585546701,0.122497984379755,0.216202096208412,0.0933108352482326,0.128123654335501,0.0523967655705104,0.0682914092487988,-0.118874475464655,-0.250815099259587,-0.311133170266969,"Bombus californicus","Bombus","Apinae","Apidae","Female","UCSB",NA
"50","UCSB_IZC00035618_R",0.44881537248923,0.373840422228444,-0.111275818294395,-0.221399136902482,-0.348988212809189,-0.421803976882075,0.0282922441872721,0.078090431359161,0.174428674624033,0.122609468222346,0.23232444716966,0.099267381006907,0.131357546380645,0.0467743995208323,0.0621437985032636,-0.123416392826454,-0.253195796468264,-0.317864851508934,"Bombus californicus","Bombus","Apinae","Apidae","Female","UCSB",NA
"51","UCSB_IZC00055289_L",0.398009261660634,0.27487011227028,0.030564488839073,-0.123460746540186,-0.353711032279277,-0.467663948933601,0.00620153050487154,0.0845884502152502,0.15060188426296,0.135863777253558,0.228636845481599,0.19542246492522,0.221170671262374,0.0257347466775829,-0.00141990831495952,-0.155708450670747,-0.305506534452868,-0.344193612161762,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",0.117
"52","UCSB_IZC00055354_R",0.410567223688384,0.267309418661153,0.0232284295205601,-0.127191862328479,-0.355944662218452,-0.451630100149087,0.00213888986844785,0.0816069598070666,0.14991570315041,0.151118127747089,0.228082789470691,0.192755957334048,0.205045719739612,0.0208461759685353,0.0176674190456975,-0.152178035178624,-0.312208818266429,-0.351129335860617,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",0.134
"53","UCSB_IZC00055752_L",0.402600657268289,0.272687673246459,0.0214919426615813,-0.136063933042433,-0.345306011809489,-0.460168581850383,0.00431751905692444,0.0847641462490901,0.155676588219963,0.13965691339433,0.235374120855243,0.192561764209437,0.202446046048028,0.0351752787640229,0.0137379071917795,-0.164050546635518,-0.308713026855766,-0.346188456971553,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",0.139
"54","UCSB_IZC00058762_R",0.375721366642534,0.291634080817611,0.0442022134993725,-0.129746869774196,-0.352402974627073,-0.473333301104735,-0.0062195646977173,0.0911332065421872,0.159011842702018,0.142344010949585,0.22565356108151,0.20137949468567,0.208409262459269,0.0312868254901668,0.00874410687484024,-0.174749280633854,-0.310391210182685,-0.332676770724505,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",0.116
"55","UCSB_IZC00058791_L",0.410025370913261,0.260274232095421,0.0255249993927226,-0.112899665627823,-0.349200735961918,-0.480041578186342,0.000869981679178369,0.0871528839949958,0.158294511700509,0.139351262146097,0.224151768321901,0.189966762641175,0.206154476549033,0.027612875643213,0.00915653571756352,-0.149045935488419,-0.29965121134033,-0.347696534190236,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",0.131
"56","UCSB_IZC00062637_L",0.407953142710777,0.272322384532229,0.0140543875691167,-0.121866500445043,-0.357799207883268,-0.459299961276778,0.0031990289652935,0.0871652145486481,0.154271511279028,0.151116781726692,0.227779808227301,0.174384145101809,0.201811201888672,0.0303809130114287,0.0210878928334379,-0.150596844157992,-0.30848710843657,-0.34747679019478,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",0.153
