"","catalogNumber","LM1x","LM2x","LM3x","LM4x","LM5x","LM6x","LM7x","LM8x","LM9x","LM1y","LM2y","LM3y","LM4y","LM5y","LM6y","LM7y","LM8y","LM9y","Species","Genus","Subfamily","Family","Sex","Collection","ITD"
"57","UCSB_IZC00055358_R",0.408492832631335,0.26023788152744,0.0267327816978505,-0.106048485080404,-0.351539346756079,-0.479111668280197,-0.00513806647369554,0.0895533851255854,0.156820685608167,0.143689990424057,0.222625686746792,0.190133616190136,0.210504995763129,0.0281607995926532,0.00787596244696327,-0.158449581730978,-0.300766125728751,-0.343775343704001,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",NA
"58","UCSB_IZC00058743_R",0.407449983037498,0.259397962564586,0.0221515838224212,-0.121015569205915,-0.347853166166133,-0.468919239284726,0.00822236763665476,0.0848748089841322,0.155691268611478,0.139485207660493,0.230075173720277,0.19216225223171,0.209592640805756,0.0279832077952107,0.0121639222148156,-0.151756771598817,-0.306779946153281,-0.352925686676165,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",NA
"59","UCSB_IZC00055354_L",0.408869767633337,0.268572928799968,0.0265885711541314,-0.118227246641322,-0.356646533895193,-0.465391322463684,0.0065172498350219,0.0825911941191856,0.147125391458559,0.15256548718216,0.22486606218714,0.187489167207555,0.203119894524375,0.0265693991688137,0.0128363378694386,-0.155680619987841,-0.304430258977178,-0.34733546917446,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",NA
"60","UCSB_IZC00058762_L",0.381570059670575,0.28905879459007,0.0365221362941865,-0.124483018775285,-0.355427004289719,-0.470956313932381,0.00147645070949377,0.0890721532836014,0.153166742449453,0.139554559630614,0.230242594993159,0.195055764328672,0.21162926957595,0.0298077936985629,0.00500285387893392,-0.163268500097014,-0.309947567189328,-0.338076768819554,"Calliopsis andreniformis","Calliopsis","Panurginae","Andrenidae","Female","UCSB",NA
"61","UCSB_IZC00065370_R",0.388862513644513,0.293476023831925,-0.0105091624570865,-0.122536686607277,-0.33732119196691,-0.489690946715052,0.0336668962592813,0.0998981346352037,0.144154419375402,0.135055095854038,0.223354322550481,0.184725553402542,0.209209326863177,0.0364679167742526,0.0180600324441736,-0.182287698012095,-0.294349886814131,-0.330234663062436,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.128
"62","UCSB_IZC00058718_R",0.38892392965672,0.288130224359326,0.0043088486274523,-0.114141802596134,-0.340075807495876,-0.492584962714231,0.0267215793812072,0.0948010086972833,0.143916982084257,0.137105206024597,0.223039897688572,0.194601035993895,0.21050271359072,0.030469586715438,0.0136263575457992,-0.187268684823811,-0.291925177221823,-0.330150935513382,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.118
"63","UCSB_IZC00058764_L",0.402049385085106,0.28646805195598,-0.000233725069950508,-0.113478876308597,-0.335854715038443,-0.497881684111535,0.0200993637407043,0.088763220173077,0.150068979573658,0.143034761823189,0.216480266699696,0.179052019561305,0.208216270655863,0.0313584863658408,0.01435260060335,-0.179872798433702,-0.283301538411661,-0.329320068863883,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.104
"64","UCSB_IZC00055264_L",0.393884369247868,0.28677563038874,-0.00590315858621818,-0.123450887532034,-0.338149778642248,-0.502355348967062,0.0328740475517022,0.0978730913284084,0.158452035210842,0.132621543574343,0.211716507214779,0.18063934828291,0.205517864931104,0.038920206618534,0.0198942056687388,-0.180392840314416,-0.27922441418831,-0.32969242178768,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.12
"65","UCSB_IZC00058709_L",0.389773449659749,0.29838891160457,-0.0130711555363502,-0.119557129578515,-0.334866087759127,-0.500889994124031,0.0334946824024909,0.101992538176652,0.144734785154561,0.132660415768265,0.21400935593117,0.1864301480267,0.211220057710629,0.0355316509459201,0.0123761207103741,-0.18069308275734,-0.289556245421415,-0.321978420914305,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.127
"66","UCSB_IZC00065404_R",0.396206159959424,0.284521001956104,-0.0118232505755002,-0.137977041931902,-0.328067611672725,-0.479903186048789,0.0274309181781346,0.096214402927616,0.153398607207632,0.140489849259492,0.217591788202165,0.187550302044266,0.212294184494813,0.0347375742611477,0.0255774606448445,-0.184749955372111,-0.297497985047837,-0.33599321848678,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.117
"67","UCSB_IZC00062589_R",0.393044015077639,0.29685288839741,0.0151517983345026,-0.128672753967229,-0.340684163030135,-0.484860967161158,0.0187226464042573,0.0894719134081567,0.140974622536558,0.126784357658662,0.229070130710117,0.199405049346398,0.216236512339568,0.026182110913425,-0.000269256556616897,-0.185152322667724,-0.286980429184193,-0.325276152559638,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.087
"68","UCSB_IZC00058722_L",0.392492266091304,0.291704448593851,0.00271221818603288,-0.117856147370534,-0.339834854803583,-0.495171529686283,0.0227625998507228,0.0959263449013924,0.147264654237088,0.155589181935453,0.207171099767531,0.176190184858991,0.206968615992833,0.0347563965342312,0.0214748576009967,-0.182568522253322,-0.291298981573952,-0.328282832862765,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.107
"69","UCSB_IZC00058691_R",0.390758529701048,0.299532579344,-0.000422177352760018,-0.117123652642387,-0.3389536866822,-0.493509748284058,0.0256924547348557,0.0909763970109937,0.14304930417051,0.145494228792437,0.213998735903982,0.185357874998981,0.212493157604404,0.0316310106663135,0.0108343062062679,-0.186752647383228,-0.289217531782637,-0.323839135006522,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.114
"70","UCSB_IZC00058790_L",0.392669250978765,0.285051046922763,-0.00123487892568412,-0.118036635609627,-0.323186021999085,-0.510793851422193,0.0310385602190462,0.0940512159316625,0.150441313904352,0.138412259134903,0.21607522418315,0.183899824725435,0.207215276992314,0.0418853688041816,0.0123636823120518,-0.181103897694177,-0.287949854627998,-0.330797883829865,"Ceratina strenua","Ceratina","Xylocopinae","Apidae","Female","UCSB",0.122
"71","UCSB_IZC00030264_L",0.447033534539895,0.338375505945091,-0.0743748555827043,-0.190820422297394,-0.343872529996366,-0.473774552737526,0.0404657854612533,0.0923229509275058,0.164644583740246,0.12629382451587,0.209982758481808,0.108403939966576,0.137712576559041,0.0454406981381494,0.0522746253028574,-0.09825441250952,-0.27741252053535,-0.304441489919431,"Diadasia bituberculata","Diadasia","Apinae","Apidae","Female","UCSB",0.304
"72","UCSB_IZC00031299_L",0.443922772631373,0.325960277969536,-0.0758134875980395,-0.185770681816604,-0.345453326089029,-0.473303690837493,0.037200421953734,0.100148785529434,0.173108928257087,0.110191173749921,0.212487466580294,0.121627157173624,0.145321139161679,0.0512083343406322,0.0413534018966458,-0.086611526413066,-0.283145204411869,-0.312431942077859,"Diadasia bituberculata","Diadasia","Apinae","Apidae","Female","UCSB",0.295
"73","UCSB_IZC00037171_L",0.437703362560936,0.323447881272233,-0.0581948680558759,-0.177922694992503,-0.353828783515443,-0.473048241478231,0.0263120621407945,0.100238782005382,0.17529250006271,0.115306155454258,0.217300257342018,0.11691741624341,0.15034167999639,0.0453373163810125,0.0491059382372519,-0.109849811964636,-0.277074456600918,-0.307384495088788,"Diadasia bituberculata","Diadasia","Apinae","Apidae","Female","UCSB",0.36
"74","UCSB_IZC00037255_L",0.454219814677947,0.330196831975256,-0.0760138046014019,-0.184284873627892,-0.342938282688131,-0.478767446789667,0.0392590709469594,0.0974679847915919,0.160860705315336,0.123421733483949,0.205655729347248,0.114476540624245,0.139578587891088,0.0485224949293487,0.0438553821997737,-0.0966045970732934,-0.275495076204683,-0.303410795197675,"Diadasia bituberculata","Diadasia","Apinae","Apidae","Female","UCSB",0.314
"75","UCSB_IZC00037347_L",0.440158171000663,0.324567153603996,-0.076876071465079,-0.185576110564203,-0.33648168006206,-0.474754308436475,0.049899408750523,0.0995704912572363,0.159492945915399,0.124074541124613,0.212316117501276,0.119756172509102,0.147938919419445,0.0563417787810443,0.0423731678940983,-0.0969449836209187,-0.284701807074334,-0.321153906534326,"Diadasia bituberculata","Diadasia","Apinae","Apidae","Female","UCSB",0.338
"76","UCSB_IZC00037492_R",0.439568955795971,0.324308507831725,-0.0706333308602221,-0.17992759271543,-0.345045901149419,-0.489295074723029,0.0493753593779034,0.100399333985664,0.171249742456833,0.114502371834379,0.207258552919019,0.11621477280447,0.143475602647218,0.0470366569806626,0.0510162684489093,-0.0946282533580264,-0.27672388780584,-0.308152084470792,"Diadasia bituberculata","Diadasia","Apinae","Apidae","Female","UCSB",NA
"77","UCSB_IZC00040929_R",0.436061144737833,0.325065227549602,-0.0388348406378608,-0.1827220157397,-0.337905749560488,-0.470391720770078,0.0240880741084237,0.0857359665511214,0.158903913761146,0.137796284136089,0.225752586037126,0.121964372409784,0.141599821985633,0.049007758608624,0.0449176357784528,-0.118689519851074,-0.284485812421641,-0.317863126682991,"Diadasia bituberculata","Diadasia","Apinae","Apidae","Female","UCSB",NA
"78","UCSB_IZC00040929_L",0.438904127120343,0.323179325291683,-0.039610218950059,-0.18137778139725,-0.337953526559768,-0.464233495128011,0.0190644494050076,0.0820912109366997,0.159935909281357,0.137253463867151,0.229674955580965,0.124709311523801,0.143140268031985,0.046596566801616,0.0437818163322244,-0.118550209917244,-0.288489749325664,-0.318116422894834,"Diadasia bituberculata","Diadasia","Apinae","Apidae","Female","UCSB",NA
"79","UCSB_IZC00037171_R",0.440518404976005,0.320732852860597,-0.0521647710595233,-0.185352654204692,-0.346549462993275,-0.471207363145154,0.0297635737526934,0.0983577823486644,0.165901637464686,0.125510776407607,0.21677123452176,0.12085716599176,0.143425837984871,0.0445625970898393,0.0519794295897412,-0.108049780905697,-0.27949647376817,-0.315560786911713,"Diadasia bituberculata","Diadasia","Apinae","Apidae","Female","UCSB",NA
"80","UCSB_IZC00038796_L",0.444100871657287,0.320942712771864,-0.057200733787416,-0.17844226340492,-0.342844333245105,-0.48450541431619,0.0372476431392215,0.0910192227733439,0.169682294411914,0.125099738605135,0.207532358083577,0.120285832479564,0.142569827621421,0.0446546034676497,0.0464217485812518,-0.0950023274069109,-0.282237217171604,-0.309324564260086,"Diadasia bituberculata","Diadasia","Apinae","Apidae","Female","UCSB",NA
"81","UCSB_IZC00009829_L",0.444501606645165,0.266952456604482,-0.0242855621310747,-0.166727427051234,-0.368210777163955,-0.44831528937056,0.0429546505417163,0.0916656702542768,0.16146467167118,0.143696936678962,0.208563800368064,0.145906642996683,0.165398957854785,0.0268457857044708,0.055414762895337,-0.0930375778192842,-0.291415738133758,-0.361373570545258,"Eucera actuosa","Eucera","Apinae","Apidae","Female","UCSB",0.28
"82","UCSB_IZC00030337_L",0.447279070287084,0.273531497285324,-0.0159056371967224,-0.15797930054556,-0.365942544781086,-0.453699641269144,0.0358667197917917,0.0833801627701637,0.153469673658151,0.150762872894344,0.213331712311151,0.138465505096231,0.165240698887615,0.0212335983186632,0.0499141109864728,-0.0924836790501396,-0.287699293612138,-0.358765525832202,"Eucera actuosa","Eucera","Apinae","Apidae","Female","UCSB",0.262
"83","UCSB_IZC00043471_L",0.456141579613122,0.269015484879656,-0.0209528463997492,-0.169538952074277,-0.371673848474142,-0.441993162542534,0.041532865896638,0.0799550483673064,0.157513830733982,0.145986059864843,0.213076050351148,0.14065242893836,0.16259791518836,0.0167630904213011,0.0571060934700522,-0.0929004026279069,-0.283937248083698,-0.359343987522456,"Eucera actuosa","Eucera","Apinae","Apidae","Female","UCSB",0.271
"84","UCSB_IZC00043584_L",0.429348365711579,0.298657936284721,-0.0248929826594877,-0.152783995061606,-0.368615991646672,-0.454664882560984,0.0345499257757241,0.0874609317160553,0.150940692440669,0.157364369419826,0.208794826449588,0.136639457836643,0.166698441498385,0.021229858112911,0.0504024634650334,-0.100211815558184,-0.289173931315992,-0.351743669908208,"Eucera actuosa","Eucera","Apinae","Apidae","Female","UCSB",0.288
"85","UCSB_IZC00047217_L",0.453298071459293,0.277167341714632,-0.0321921660871669,-0.160589959121383,-0.366825804958232,-0.451233075728723,0.0350019111056755,0.0850244942899881,0.160349187325911,0.14569895625683,0.209978806924607,0.135669407403286,0.16357778126178,0.0196624356054235,0.0565850531109446,-0.0985572421276563,-0.282485783792066,-0.350129414643146,"Eucera actuosa","Eucera","Apinae","Apidae","Female","UCSB",0.279
"86","UCSB_IZC00047317_L",0.456578486170024,0.272219572525056,-0.0298252665139162,-0.179792910704323,-0.365242300916484,-0.444579810759762,0.0372459081808111,0.0863037276780262,0.167092594340567,0.145623085262068,0.20385397815399,0.138043442128937,0.159349442308174,0.0268911219979795,0.0601681348233646,-0.0976376292112531,-0.28544031239558,-0.350851263067681,"Eucera actuosa","Eucera","Apinae","Apidae","Female","UCSB",NA
"87","UCSB_IZC00047293_L",0.453614964116131,0.27409581535052,-0.0320827678026761,-0.166155708075258,-0.356378956011032,-0.447099078042784,0.0387682688765655,0.0820020186127313,0.153235442975802,0.151363800238167,0.211837635564696,0.142529836367691,0.164893189279643,0.0240749441403246,0.0505207599196504,-0.0964789704099464,-0.285558665727338,-0.363182529372888,"Eucera actuosa","Eucera","Apinae","Apidae","Female","UCSB",NA
"88","UCSB_IZC00043205_L",0.447517835039902,0.271053798388951,-0.0346558294724839,-0.174818512689367,-0.37103304811339,-0.446443715950358,0.042913767057389,0.0865883289403181,0.178877376799039,0.130023357907417,0.210641863279761,0.139751659817549,0.161099049223094,0.0295569189694203,0.0593911497613928,-0.0883221620593661,-0.290264700487194,-0.351877136412078,"Eucera actuosa","Eucera","Apinae","Apidae","Female","UCSB",NA
"89","UCSB_IZC00047281_L",0.441176541440045,0.266240683333729,-0.0264055040746176,-0.171605734313287,-0.361804454756137,-0.440671709097789,0.037147141252313,0.0888187376918438,0.167104298523903,0.14382117549516,0.213182966916079,0.150192094952269,0.168868419384907,0.0265505569837959,0.0584513374561725,-0.0970974496264953,-0.30142488558079,-0.362544215981096,"Eucera actuosa","Eucera","Apinae","Apidae","Female","UCSB",NA
"90","UCSB_IZC00046915_L",0.451557437046954,0.266469699928461,-0.0380233376065428,-0.177152742953276,-0.355395002029865,-0.442137239466497,0.041298707122258,0.0877138954069996,0.165668582551512,0.143189300039877,0.211174831773386,0.144356175000467,0.167330760851759,0.0253950640066539,0.0622792762285432,-0.0995656115542292,-0.294850155476821,-0.359309640869632,"Eucera actuosa","Eucera","Apinae","Apidae","Female","UCSB",NA
"91","UCSB_IZC00009790_L",0.456585359061276,0.381995989338648,-0.0667894319912436,-0.212039855365803,-0.404572611518884,-0.433756933268723,0.0371581399056053,0.0721438704594113,0.169275473379713,0.0990918953039192,0.229302474744436,0.097964014979601,0.112169662398556,0.0270706725812318,0.0509715963848593,-0.0928727859831285,-0.24047785829215,-0.283219672117325,"Habropoda depressa","Habropoda","Apinae","Apidae","Female","UCSB",0.417
"92","UCSB_IZC00010287_L",0.44943058989627,0.387394681278538,-0.0684660330278651,-0.207324413804127,-0.405801909199738,-0.43829614241007,0.0443105163202131,0.0798151734683726,0.158937537478407,0.0969664725867294,0.228736994971543,0.10137784196663,0.116911093974332,0.023167791532764,0.0471731173831195,-0.0882534232953576,-0.239035570470492,-0.287044318649268,"Habropoda depressa","Habropoda","Apinae","Apidae","Female","UCSB",0.388
"93","UCSB_IZC00033743_L",0.456974583030802,0.385916728288961,-0.0695407055280119,-0.210544885952735,-0.405839861680352,-0.43986478656414,0.0423296825221161,0.0771055634974802,0.16346368238588,0.0895701980443733,0.229116974878943,0.0996867592541838,0.117102163342672,0.0246717259970866,0.0433272221867836,-0.0903412742257183,-0.231750555584902,-0.281383213893422,"Habropoda depressa","Habropoda","Apinae","Apidae","Female","UCSB",0.381
"94","UCSB_IZC00041391_L",0.448340041086812,0.38646242378378,-0.0672009557860307,-0.195238085386908,-0.402609478534575,-0.445279869921814,0.0398388826389795,0.0758235204766853,0.159863521643073,0.104366151616471,0.22438491329347,0.100945717857862,0.121479287045104,0.0212583657404761,0.0450199555904832,-0.0935779128362455,-0.237899169236224,-0.285977309071398,"Habropoda depressa","Habropoda","Apinae","Apidae","Female","UCSB",0.388
"95","UCSB_IZC00047053_L",0.454985208621026,0.390445176909762,-0.0676027002113008,-0.203013309294839,-0.400978310142084,-0.43915283212448,0.036133914304986,0.0696848742093094,0.159497977727616,0.0965428647075531,0.235310290848452,0.100681911885881,0.114851909422878,0.0185598706478498,0.043125710925551,-0.0869149101107844,-0.236508714489814,-0.285648933837566,"Habropoda depressa","Habropoda","Apinae","Apidae","Female","UCSB",0.376
"96","UCSB_IZC00028354_R",0.451128094599242,0.384943457773851,-0.0638045459455944,-0.200104526672055,-0.404678741846406,-0.449984450532054,0.047425181937574,0.0756571152834375,0.159418415402004,0.0923895883904417,0.227953155324254,0.101578370824629,0.1192648223102,0.0232191969332002,0.0402364881115445,-0.0873342619167786,-0.236886196951681,-0.280421163025809,"Habropoda depressa","Habropoda","Apinae","Apidae","Female","UCSB",NA
"97","UCSB_IZC00028354_L",0.453043733395437,0.391132358364043,-0.0641403804464008,-0.206202903899324,-0.404744729323618,-0.444059091467756,0.0453039562872898,0.0750194795053612,0.154647577584966,0.0979771851726841,0.223245548932979,0.101655430859999,0.121249066705522,0.0237179693912667,0.0356808294758005,-0.0863404457844322,-0.237912076979008,-0.279273507774809,"Habropoda depressa","Habropoda","Apinae","Apidae","Female","UCSB",NA
"98","UCSB_IZC00033743_R",0.453477400500271,0.390326585723568,-0.0649575509251293,-0.206503112489046,-0.407561366121635,-0.437816613530678,0.0347430628529755,0.0791492769399539,0.15914231704972,0.0902423437738355,0.235101730851795,0.101762270952957,0.115930047000246,0.0214336359120946,0.0429731469450562,-0.095370007676794,-0.230569895952078,-0.28150327180711,"Habropoda depressa","Habropoda","Apinae","Apidae","Female","UCSB",NA
"99","UCSB_IZC00014915_L",0.449387087383351,0.374976004856673,-0.0580141055699425,-0.215026037349208,-0.412752773442451,-0.444073244000598,0.0478186598061454,0.0772678902134988,0.180416518102527,0.0819961317891726,0.221026302952665,0.104578813861154,0.121981030154772,0.026973747324815,0.0458473799334835,-0.0839196672046823,-0.239646637609314,-0.278837101202065,"Habropoda depressa","Habropoda","Apinae","Apidae","Female","UCSB",NA
"100","UCSB_IZC00009790_R",0.452881400690407,0.381600752483014,-0.0667434738077218,-0.205030231388885,-0.404673330440679,-0.439484545621075,0.0426064893546899,0.0736930219115181,0.16514991681873,0.0959807179373099,0.227372441416184,0.0995696197632228,0.125565801036912,0.0169854204597085,0.0489394645009884,-0.0915268158295629,-0.239735878566381,-0.283150770718383,"Habropoda depressa","Habropoda","Apinae","Apidae","Female","UCSB",NA
"101","UCSB_IZC00030122_L",0.397916685792789,0.307574400224499,-0.0206818439658099,-0.110806913040009,-0.333762843808138,-0.497062850052658,0.0110501977205453,0.0819591429848321,0.163814024143951,0.104314182919061,0.249572552565103,0.17419544128971,0.204633397838858,0.0237439786293324,0.0109542878162455,-0.165401142688263,-0.287431001403813,-0.314581696966234,"Halictus farinosus","Halictus","Halictinae","Halictidae","Female","UCSB",0.222
"102","UCSB_IZC00030348_L",0.390240321976788,0.313936977735559,-0.0243314907911453,-0.110594456174597,-0.342822351168153,-0.497355487557433,0.0238260332880035,0.0852912580308037,0.161809194660174,0.0943803616788441,0.25344448876481,0.172117079503864,0.204451620337014,0.0266011911113462,0.00657569028917798,-0.154011670305202,-0.284114552097464,-0.319444209282394,"Halictus farinosus","Halictus","Halictinae","Halictidae","Female","UCSB",0.228
"103","UCSB_IZC00034799_R",0.388892179469495,0.304192331944838,-0.00543227754340404,-0.111019710429966,-0.344095883192374,-0.478849208517514,0.0112263072874064,0.0792359259047826,0.155850335076739,0.110216904542112,0.26027680704041,0.181620214973947,0.211882823852701,0.0216988922377687,0.0109914751493766,-0.179803681332884,-0.295864594151692,-0.321018842311737,"Halictus farinosus","Halictus","Halictinae","Halictidae","Female","UCSB",0.229
"104","UCSB_IZC00042935_L",0.391384783223254,0.310264019845614,-0.0216315961393457,-0.117570391669653,-0.341724360217801,-0.482776866367838,0.0107828859175925,0.08141379346159,0.169857731946585,0.0950015094954252,0.259753986660389,0.178019111692116,0.206055707104315,0.0269930050049093,0.0121314219338778,-0.172460136973297,-0.292034960432421,-0.313459644485314,"Halictus farinosus","Halictus","Halictinae","Halictidae","Female","UCSB",0.238
"105","UCSB_IZC00046903_L",0.390412758473936,0.312339257220127,-0.0123374361398916,-0.109666416391319,-0.345412661842365,-0.489208409443244,0.015588498712693,0.0793891253309835,0.158895284079082,0.0985368022331232,0.259537736762639,0.177646405823398,0.207264980658633,0.0260242610258578,0.0032359982383632,-0.170772001520761,-0.286458960555522,-0.315015222665731,"Halictus farinosus","Halictus","Halictinae","Halictidae","Female","UCSB",0.243
"106","UCSB_IZC00047210_R",0.394056405013285,0.317188674747555,-0.0140756746917493,-0.105310114975468,-0.343152548262432,-0.501763546281457,0.0143062059561945,0.0757040792671568,0.163046519226917,0.0984130869609245,0.252543906304429,0.174149002054793,0.202467158123049,0.0237116334291434,0.00245631103716433,-0.168200904392186,-0.276675258321901,-0.308864935195415,"Halictus farinosus","Halictus","Halictinae","Halictidae","Female","UCSB",NA
"107","UCSB_IZC00036773_R",0.389195277755852,0.31531785086728,-0.0136613968056229,-0.108921509775666,-0.341441238134322,-0.502849563998949,0.0138397890216955,0.0791457179095128,0.169375073160221,0.103621498421572,0.244847061834994,0.173074304238256,0.203856056472968,0.0301245808279836,0.00633248445051141,-0.173240728824713,-0.281492769379945,-0.307122488041628,"Halictus farinosus","Halictus","Halictinae","Halictidae","Female","UCSB",NA
"108","UCSB_IZC00047210_L",0.394688810638264,0.316090552293604,-0.0113686434036781,-0.104355650763195,-0.347030736910003,-0.500503330010271,0.0134996031498872,0.0774294941610398,0.161549900844352,0.102754169586305,0.249963997594325,0.173582460569348,0.199305295807742,0.0217658758106415,0.00686669530412151,-0.167793372937913,-0.280003071816931,-0.306442049917636,"Halictus farinosus","Halictus","Halictinae","Halictidae","Female","UCSB",NA
"109","UCSB_IZC00042935_R",0.395712335229571,0.313114292777875,-0.0204530922894157,-0.113382353358796,-0.336375196620698,-0.492359690331117,0.0116237552523116,0.078287824669856,0.163832124670412,0.0993264176980261,0.256119517807947,0.176070076057465,0.203739416759722,0.0267258407283875,0.00641529644361697,-0.170195352555879,-0.285793634586808,-0.31240757835248,"Halictus farinosus","Halictus","Halictinae","Halictidae","Female","UCSB",NA
"110","UCSB_IZC00036773_L",0.392339433495927,0.314649518306793,-0.0119104593071969,-0.114203104498396,-0.337975020401701,-0.493615076382088,0.010914838528679,0.0770792193550449,0.162720650902943,0.101726422078335,0.2540878113945,0.177583769544326,0.207227118323898,0.0246874510974479,0.00513734079272069,-0.176379407859787,-0.283556849709546,-0.310513655661894,"Halictus farinosus","Halictus","Halictinae","Halictidae","Female","UCSB",NA
"111","LACM_ENT247827_R",0.419753117678397,0.23496987551872,0.0349529080895451,-0.104198789407984,-0.36873430970007,-0.540667311411721,0.0135550489653325,0.121665521269155,0.188703938998623,0.0913544393159002,0.188203579965381,0.18014560730439,0.212106867897759,0.0293803961597783,0.00573570044262393,-0.121958323854588,-0.270533561654915,-0.314434705576329,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM",0.167
"112","LACM_ENT601903_R",0.413000883280029,0.229642577609765,0.0279353023902302,-0.100574885997852,-0.372232013206798,-0.536634692124115,0.0163743706555294,0.129406742806963,0.193081714586251,0.0887843894783699,0.189128547073328,0.18321390211223,0.216426856418254,0.0336757367422838,0.0107364701576126,-0.133253218485885,-0.266757421235937,-0.321955262260256,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM",0.163
"113","LACM_ENT601925_L",0.420551041298548,0.227333897623609,0.0280338687227449,-0.0967869542805005,-0.371611326916052,-0.541274796872134,0.0173471216734019,0.123318860333861,0.193088288416527,0.0901357949634708,0.18801049157054,0.177285494562972,0.215160535459913,0.0336220711836351,0.00765373519103958,-0.129084118706205,-0.261460420164145,-0.321323584061222,"Hesperapis larreae","Hesperapis","Dasypodainae","Melittidae","Female","LACM",0.167
