"","LM1x","LM2x","LM3x","LM4x","LM5x","LM6x","LM7x","LM8x","LM9x","LM1y","LM2y","LM3y","LM4y","LM5y","LM6y","LM7y","LM8y","LM9y"
"Agapostemon",0.402310658730931,0.299386203602458,-0.0301525652108646,-0.114386094878137,-0.326453127137027,-0.489651604376331,0.0106621190923949,0.08800783926355,0.160276570913026,0.112710204568565,0.245245142625813,0.179337926642926,0.207735619424121,0.0366339219748586,0.00646969907276987,-0.178891054796683,-0.294649008972386,-0.314592450539983
"Andrena",0.417693156532148,0.325724502332378,0.0378722825400925,-0.0914110562019412,-0.338718076358299,-0.485564084130908,-0.0297926692503393,0.0441641724766555,0.120031772060213,0.164056431260579,0.248126246481223,0.174695435817998,0.188959516372712,-0.00181606123150195,-0.0238902689461762,-0.130764048143928,-0.286264907999756,-0.333102343611149
"Anthophora",0.498078841555724,0.35051298235316,-0.0998224680767454,-0.214759306283833,-0.409649385002632,-0.430116516751043,0.0397192876952011,0.0841470036378765,0.181889560872291,0.115833856951183,0.180995923380586,0.0923102981054996,0.113245330781553,0.0329426532100391,0.0572422706655568,-0.0779307606195301,-0.22792277795977,-0.286716794515118
"Apis",0.478886645077389,0.29741962167595,0.0109293947308783,-0.160382301056188,-0.357125308469571,-0.440504465854347,-0.0438802096775466,0.0548038735334887,0.159852750039947,0.196669567362183,0.193868224033618,0.140778647716912,0.148442837941016,0.0377997346780545,0.0222151714856709,-0.163055740690794,-0.26095143838541,-0.31576700414125
"Bombus",0.453337735434709,0.383151817462914,-0.102975977006419,-0.209387113918282,-0.368159509384463,-0.435012403424976,0.0218455632308643,0.0855239243755273,0.171675963230126,0.119820871509508,0.216884951011246,0.0997951058268004,0.126715288335495,0.0332253986776255,0.055051646893306,-0.109513301793921,-0.236318899112456,-0.305661061347604
"Calliopsis",0.398893069464296,0.272958788986943,0.0268805496095783,-0.12493451998215,-0.352179992815474,-0.466420801021235,0.00279731136364463,0.0868319434318008,0.155173650962597,0.143005937920387,0.229197897328074,0.191740284042033,0.208035720944836,0.0279675114499504,0.00992481413353058,-0.15765979618175,-0.307502607883385,-0.344709761753678
"Ceratina",0.395107312765105,0.289175840812717,-0.00418006425191523,-0.121684180721631,-0.336150982201196,-0.495624293270059,0.0269600209051665,0.0961991523060306,0.15019719365578,0.138488748958867,0.215637800114783,0.184182619121368,0.209328073578338,0.0347220117841274,0.0141591743288092,-0.181537482504848,-0.288212196574906,-0.326768748806539
"Diadasia",0.446087705509006,0.32513724771818,-0.0710633058760967,-0.18611895252569,-0.345299738145014,-0.473428787021769,0.0389013211367733,0.0983643998899266,0.167420109314686,0.120058335282304,0.21177741709414,0.117863831654922,0.145401005546058,0.0461070233276714,0.0464980332506816,-0.0972533693574537,-0.279888165366566,-0.310564111431756
"Eucera",0.448905416914648,0.273230175241309,-0.0278300306309,-0.167000829698515,-0.366024909799891,-0.448193440603225,0.0389954526566521,0.0857983794350919,0.16211978648483,0.145533519172408,0.210535263085308,0.14150939902556,0.164494847619743,0.0213680175235384,0.0550306103352455,-0.0947825444015287,-0.288180512283576,-0.355508600076698
"Habropoda",0.453132927730078,0.385134664382806,-0.0663307270055292,-0.20479358733739,-0.405713119086945,-0.441410942544143,0.041784286939076,0.0752483833900565,0.16294811353199,0.0971311639620039,0.228032108527657,0.100987412520006,0.118133596908836,0.0219454065977438,0.0436050749299145,-0.0891703731314805,-0.237621057028175,-0.283043333286507
"Halictus",0.392255868120639,0.310891409559751,-0.0153674129263134,-0.109907080010935,-0.341685998138078,-0.49533540971624,0.0161565298991136,0.0810612462048031,0.16193084700726,0.100700115278102,0.25379461996709,0.17645413126912,0.205935051688639,0.0248240263669071,0.00445764851990702,-0.167965589921818,-0.284542561514842,-0.313657441653104
"Hesperapis",0.406429302950125,0.239648877355017,0.034316874629929,-0.10373474496907,-0.369472828537189,-0.541056102711031,0.0205335303464017,0.12490124305651,0.188433847879307,0.0993270159400446,0.187194174914453,0.179361304803075,0.210933154093336,0.0329383364088092,0.0100663526906965,-0.129388991828736,-0.266884656530341,-0.323546690491338
"Lasioglossum",0.406133911490811,0.266892927028542,-0.0267175883940157,-0.109948874050169,-0.325540577145556,-0.515497146793806,0.0416775727613729,0.0966498660685975,0.166349909034223,0.122068353458693,0.205891616868361,0.187769179118048,0.221542465325053,0.0295740599237987,0.020847844462338,-0.184305468769418,-0.281994422715736,-0.321393627671139
"Megachile",0.450263978450371,0.322547835959098,-0.00276499241214788,-0.145721562842405,-0.377141453040186,-0.430639886842784,-0.000993481342335244,0.0624722315165007,0.121977330553889,0.178258662843792,0.223216938578918,0.146029395275272,0.161277039238989,0.00663243852933943,0.0287334474431913,-0.136742429901193,-0.296347221294885,-0.311058270713424
"Osmia",0.434318059657335,0.298325671307168,-0.010153704001967,-0.192764024328826,-0.391716746223865,-0.449906677331794,0.0249576278123593,0.110181359204803,0.176758433904787,0.12310631850952,0.197253871040196,0.150430407973108,0.150379798005631,0.0267556987621286,0.0591761443208345,-0.1120336405708,-0.281401707789697,-0.313666890250923
"Panurginus",0.408403707916204,0.307196860532348,0.0469612881290331,-0.076387359713055,-0.349514586942596,-0.518830506519983,-0.0225067936930274,0.0714201364151732,0.133257253875903,0.145589821451215,0.221263066806484,0.191538235450721,0.201149570716809,-0.000501072522753864,-0.0229525425839477,-0.149730168824981,-0.274059156365535,-0.312297754128013
"Xylocopa",0.472617276211471,0.307269027072595,-0.103029518121636,-0.181619896594737,-0.346396024548479,-0.411692706558486,-0.0350210923646766,0.0862942792886391,0.21157865561531,0.148342877330385,0.203698399256917,0.128620218324959,0.15460270500845,0.0530862405565425,0.0649594766627984,-0.172405924192456,-0.269950000438462,-0.310953992509134
